phonetician,gender,vowel,f0,f1,f2,f3
Lukasz Stolarski,m,20,159.904831514628,378.714841418393,1750,2322.12535527827
Lukasz Stolarski,m,21,159.517724183619,410.824656540918,1000,2458.93660554179
Lukasz Stolarski,m,22,159.489885509737,440,1250,2290
Lukasz Stolarski,m,23,159.883326451752,414.117560718014,1100,2350
Lukasz Stolarski,m,24,152.330193541131,565.997692715942,1200,2380
Lukasz Stolarski,m,25,147.544641183822,639.510610804522,1300,2700
Lukasz Stolarski,m,26,148.687746408951,572.56622389888,1272.50000769235,2370
Lukasz Stolarski,m,27,150.064977118117,604.359458178143,1458.89639199247,2690
Lukasz Stolarski,m,28,149.690594431529,587.539405660601,1190,2800
Magda Zajac,f,1,237.552057471808,269.619989229558,3020,3900
